"1","1","Votre organisation délivre des produits et des services. Laquelle des phrases suivantes correspond le mieux à votre organisation ?","L'organisation délivre des produits et des services mais ne se souci de prendre en compte que ses intérêts propres.","L'organisation délivre des produits et des services en respect des lois et des standards.","L'organisation délivre des produits et des services innovants.","L'organisation délivre des produits et des services durables et éthiques.","L'organisation délivre des produits et des services durables et éthiques. Ils contribuent à une transformation en profondeur de la société.","1","3","PROPOSITION DE VALEUR","0","fr"
"2","2","Parmi les phrases suivantes, laquelle décrit le mieux le niveau de conscience environmental de votre organisation ?","La préservation des ressources est totalement ignorée. L'organisation ne se sent pas concernée.","La préservation des ressources est considérée mais ne se limite qu'au respect des lois et aux obligations de son secteur.","Des efforts sont réalisés et des mesures sont prises mais cela ne se limite qu'à une réduction des consommations internes en ressources naturelles.","L'organisation s'engage de façon proactive à la préservation des ressources naturelles de la planète.","L'organisation contribue par de grands efforts à la régénération des ressources naturelles de la planète.","2","3","RESSOURCES NATURELLES","0","fr"
"3","3","Dans votre organisation, comment le taux de rémunération est-il décidé et par qui ?","Le chef prend toutes les décisions concernant les salaires et les bonus.","Les responsables d'équipe déterminent les salaires sur la base de tarifs préétablis par la direction.","Les responsables d'équipe déterminent les salaires et les bonus sur la base de tarifs préétablis par la direction. Les réalisations et réussites personnelles sont également prises en compte.","Les responsables d'équipe déterminent les salaires en fonction des réalisations et des réussites collectives de l'équipe.","Le taux de rémunération est décidé par consentement mutuel, ou bien, en suivant un processus de sollicitation d'avis. Les compensations sont transparentes aux yeux de tous.","3","3","SALAIRES","0","fr"
"4","4","Dans votre organisation, comment les réunions sont-elles généralement vécues ?","Les réunions sont invoquées soudainement par le chef. Les réunions servent au chef à transmettre des informations à son équipe.","Seuls les chefs d'équipe et les managers peuvent provoquer des réunions. C'est eux qui fixent l'ordre du jour.","Chacun peut provoquer une réunion. L'ordre du jour est généralement défini collectivement. Le chef d'équipe laisse un espace d'expression à son équipe mais c'est lui qui préside la réunion.","Les réunions suivent un processus prédéfini. Des rôles sont établis. On porte une attention à ce que chacun puisse exprimer son opinion et ses besoins. Les décisions sont généralement faites par consensus.","Lors des réunions, on fait attention à ce que l'égo de chacun garde une place raisonnable. Les décisions sont généralement prises par consentement en laissant émerger ce qui doit l'être.","4","3","RÉUNIONS","0","fr"
"5","5","Dans votre organisation, qui prend les grandes décisions impactant fortement le groupe ?","Les grandes décisions sont prises par le chef. L'équipe n'est pas consultée.","Les grandes décisions sont prises par la direction et les chefs d'équipes.","Les grandes décisions sont prises par la direction et les chefs d'équipes. Cependant, chacun peut influencer les décideurs à condition d'être bien connecté.","Les grandes décisions sont prises par les responsables après une consultation large du personnel.","Les grandes décisions peuvent être prise par chacun à condition que les personnes impactées et les experts soient consultés.","5","3","PRISE DE DECISION","0","fr"
"6","6","Dans votre organisation, comment les information clés sont-elles généralement partagée avec l'ensemble du groupe ?","Les informations clés sont préservées par le chef.","Les informations clés sont préservées par la hiérarchie. Certaines sont révélées au groupe d'une manière officielle.","Les informations clés sont préservées par la hiérarchie. Certaines sont révélées au groupe. Elles peuvent être potentiellement obtenues par chacun par influence auprès des décideurs.","Les informations clés sont généralement partagées sur des plateformes collectives.","Les informations clés et le savoir sont très largement partagées et enrichies par chacun.","6","3","PARTAGE DES INFORMATION CLÉS","0","fr"
"7","7","Dans votre organisation, qui peut exercer un pouvoir disciplinaire sur le personnel ? Qui a le pouvoir d'exercer des sanctions ou de licencier ?","Le chef a les pleins pouvoirs disciplinaires sur le personnel.","Le chef d'équipe exerce un pouvoir disciplinaire sur les membres de son équipe suivant des règles préétablies.","Le chef d'équipe et le responsable du personnel prennent les décisions disciplinaires de façon concertée.","Le pouvoir disciplinaire existe mais il est rarement utilisé car la communication est perçu comme clé pour résoudre les conflits.","Le pouvoir disciplinaire n'existe pas véritablement. Il est remplacé par des mécanismes d'auto-régulation au sein du groupe.","7","3","POUVOIR DISCIPLINAIRE","0","fr"
"8","8","Dans votre organisation, quel espace de liberté avez-vous pour entreprendre des initiatives ? Comment sont-elles généralement perçues ?","Entreprendre des initiatives est généralement risqué et peut avoir des conséquences désagréables.","Entreprendre des initiatives n'est généralement pas souhaité. Les employés se limitent à suivre les instructions de la hiérarchie.","Entreprendre des initiatives est bienvenue à condition que les suggestions soient en accord avec les objectives du chef d'équipe et de la stratégie d'entreprise.","Entreprendre des initiatives est fortement soutenu par la hiérarchie. Des outils existent afin de soutenir l'autonomie des employés.","Entreprendre des initiatives est naturel et généralisé. Les experts et les personnes impactées doivent être cependant très largement consultés.","8","3","INITIATIVES PERSONNELLES","0","fr"
"9","9","Dans votre organisation, comment l'échec est-il perçu ?","L'échec est généralement puni et la sanction dépend du bon vouloir du chef.","L'échec n'est pas une option. Les employés ont tendance ainsi à cacher leurs erreurs.","L'échec doit être compris afin de s'améliorer. Cependant il est attendu que des mesures soient prises. Une seconde chance est rarement accordée.","L'échec est perçu comme quelque chose de pénible mais également comme quelque chose d'utile. Les échecs sont largement discutés afin d'identifier les possibles apprentissages.","L'échec n'est pas perçu comme une honte mais bien comme une source d'apprentissage pour s'améliorer. On cherche toujours à transcender l'échec vers quelque chose de positif.","9","3","ECHECS","0","fr"
"10","10","Dans votre organisation, comment les conflits sont-ils généralement gérés et résolus ?","Le chef détermine qui a raison et qui a tort.","Le chef d'équipe détermine le vrai du faux après avoir écouté les parties prenantes et après s'être référé au règles internes.","Le chef d'équipe cherche à trouver une solution gagnant-gagnant. Si cela n'est pas possible, le chef d'équipe tranche et prend une décision.","Un mécanisme de médiation existe et aide les parties prenantes à trouver une solution. Si cela échoue, le chef d'équipe prend une décision.","Des pratiques de communication non-violente et d'assertivité sont vécues quotidiennement. Les conflits sont résolus de personne à personne. Si cela échoue, une médiation est mise en place.","10","3","RESOLUTION DE CONFLITS","0","fr"
"11","11","Dans votre organisation, comment décririez-vous le climat de travail ?","Le climat de travail est un climat de peur et de protection de ses intérêts personnels.","Le climat de travail est dominé par les règles et les conventions instaurées dans l'organisation.","Le climat de travail est un climat d'émulation et de compétition.","Le climat de travail est détendu et similaire à une atmosphère familiale.","Le climat de travail est un climat d'ouverture, de créativité et de bienveillance.","11","3","CLIMAT DE TRAVAIL","0","fr"
